Receiver Name,Time Slot
Jivin Kant,11:00 AM - 11:30 AM
Jivin Kant,10:30 AM - 11:00 AM
Jivin Kant,11:00 AM - 11:30 AM
Piya Ratti,03:00 PM - 03:30 PM
Piya Ratti,02:30 PM - 03:00 PM
Piya Ratti,02:30 PM - 03:00 PM
Trisha Deo,02:30 PM - 03:00 PM
Trisha Deo,02:30 PM - 03:00 PM
Trisha Deo,03:00 PM - 03:30 PM
Farhan Zacharia,10:30 AM - 11:00 AM
Farhan Zacharia,10:00 AM - 10:30 AM
Farhan Zacharia,10:00 AM - 10:30 AM
Seher Gaba,03:30 PM - 04:00 PM
Seher Gaba,04:00 PM - 04:30 PM
Seher Gaba,03:00 PM - 03:30 PM
Tarini Wali,01:00 PM - 01:30 PM
Tarini Wali,12:30 PM - 01:00 PM
Tarini Wali,01:00 PM - 01:30 PM
Fateh Sabharwal,04:00 PM - 04:30 PM
Fateh Sabharwal,04:00 PM - 04:30 PM
Fateh Sabharwal,04:00 PM - 04:30 PM
Nirvaan Ramachandran,02:00 PM - 02:30 PM
Nirvaan Ramachandran,02:00 PM - 02:30 PM
Nirvaan Ramachandran,02:30 PM - 03:00 PM
Fateh Kunda,03:00 PM - 03:30 PM
Fateh Kunda,03:30 PM - 04:00 PM
Fateh Kunda,03:30 PM - 04:00 PM
Ishita Dyal,11:00 AM - 11:30 AM
Ishita Dyal,11:00 AM - 11:30 AM
Ishita Dyal,10:30 AM - 11:00 AM
Sahil Kothari,01:30 PM - 02:00 PM
Sahil Kothari,01:00 PM - 01:30 PM
Sahil Kothari,01:00 PM - 01:30 PM
Shanaya Dara,10:30 AM - 11:00 AM
Shanaya Dara,10:00 AM - 10:30 AM
Shanaya Dara,10:30 AM - 11:00 AM
Lakshay Ganguly,03:30 PM - 04:00 PM
Lakshay Ganguly,04:00 PM - 04:30 PM
Lakshay Ganguly,04:00 PM - 04:30 PM
Sahil Khurana,01:30 PM - 02:00 PM
Sahil Khurana,02:00 PM - 02:30 PM
Sahil Khurana,01:00 PM - 01:30 PM
Anya Dhillon,01:30 PM - 02:00 PM
Anya Dhillon,01:00 PM - 01:30 PM
Anya Dhillon,02:00 PM - 02:30 PM
Suhana Sharaf,10:00 AM - 10:30 AM
Suhana Sharaf,10:00 AM - 10:30 AM
Suhana Sharaf,10:00 AM - 10:30 AM
Gokul Sangha,02:30 PM - 03:00 PM
Gokul Sangha,03:00 PM - 03:30 PM
Gokul Sangha,02:00 PM - 02:30 PM
Navya Bhatti,03:30 PM - 04:00 PM
Navya Bhatti,03:30 PM - 04:00 PM
Navya Bhatti,03:30 PM - 04:00 PM
Shalv Hans,02:30 PM - 03:00 PM
Shalv Hans,02:00 PM - 02:30 PM
Shalv Hans,02:30 PM - 03:00 PM
Saksham Garg,03:30 PM - 04:00 PM
Saksham Garg,03:30 PM - 04:00 PM
Saksham Garg,03:00 PM - 03:30 PM
Saanvi Bal,03:00 PM - 03:30 PM
